异常ID,异常类型,异常代码,严重程度,设备编号,读数时间,描述,预期值,实际值,检测时间,是否复核,复核结果,复核备注,复核人,复核时间,是否回滚,原始行号
1,未登记设备,UNREGISTERED_DEVICE,critical,PUMP-999,2026-06-02 09:00:00,设备 PUMP-999 未在设备台账中登记,,,2026-06-08 10:20:02.526750,否,,,,,否,31
2,未登记设备,UNREGISTERED_DEVICE,critical,PUMP-999,2026-06-02 09:15:00,设备 PUMP-999 未在设备台账中登记,,,2026-06-08 10:20:02.526756,否,,,,,否,32
3,同时刻不同读数,SAME_TIME_DIFFERENT_READING,high,PUMP-002,2026-06-01 08:15:00,设备 PUMP-002 在 2026-06-01 08:15:00 时间点出现不同读数: [0.51 0.6 ],0.51,0.6,2026-06-08 10:20:02.526758,否,,,,,否,10
4,同时刻不同读数,SAME_TIME_DIFFERENT_READING,high,PUMP-002,2026-06-01 08:15:00,设备 PUMP-002 在 2026-06-01 08:15:00 时间点出现不同读数: [0.51 0.6 ],0.51,0.6,2026-06-08 10:20:02.526760,否,,,,,否,11
5,重复上报,DUPLICATE_REPORT,low,PUMP-001,2026-06-01 08:00:30,设备 PUMP-001 在 120 秒内重复上报,,,2026-06-08 10:20:02.526762,否,,,,,否,3
6,重复上报,DUPLICATE_REPORT,low,PUMP-002,2026-06-01 08:15:00,设备 PUMP-002 在 120 秒内重复上报,,,2026-06-08 10:20:02.526763,否,,,,,否,11
7,水压突降,PRESSURE_SUDDEN_DROP,high,PUMP-001,2026-06-01 08:20:00,设备 PUMP-001 在 5 分钟内水压下降 0.21MPa,0.46,0.25,2026-06-08 10:20:02.526765,否,,,,,否,5
8,水压突降,PRESSURE_SUDDEN_DROP,high,PUMP-006,2026-06-02 08:30:00,设备 PUMP-006 在 15 分钟内水压下降 0.42MPa,0.47,0.05,2026-06-08 10:20:02.526767,否,,,,,否,30
9,读数倒退,READING_BACKWARD,medium,PUMP-001,2026-06-01 08:30:00,设备 PUMP-001 流量读数出现倒退: 122.3 -> 118.7,122.3,118.7,2026-06-08 10:20:02.526768,否,,,,,否,6
10,读数倒退,READING_BACKWARD,medium,PUMP-001,2026-06-01 08:45:00,设备 PUMP-001 流量读数出现倒退: 118.7 -> 115.2,118.7,115.2,2026-06-08 10:20:02.526770,否,,,,,否,7
11,读数倒退,READING_BACKWARD,medium,PUMP-002,2026-06-01 08:15:00,设备 PUMP-002 流量读数出现倒退: 150.2 -> 148.9,150.2,148.9,2026-06-08 10:20:02.526771,否,,,,,否,10
12,读数倒退,READING_BACKWARD,medium,PUMP-002,2026-06-01 09:00:00,设备 PUMP-002 流量读数出现倒退: 160.0 -> 155.5,160.0,155.5,2026-06-08 10:20:02.526773,否,,,,,否,14
13,读数倒退,READING_BACKWARD,medium,PUMP-002,2026-06-01 09:15:00,设备 PUMP-002 流量读数出现倒退: 155.5 -> 145.0,155.5,145.0,2026-06-08 10:20:02.526774,否,,,,,否,15
14,读数倒退,READING_BACKWARD,medium,PUMP-003,2026-06-01 16:30:00,设备 PUMP-003 流量读数出现倒退: 182.5 -> 175.0,182.5,175.0,2026-06-08 10:20:02.526776,否,,,,,否,18
15,读数倒退,READING_BACKWARD,medium,PUMP-004,2026-06-01 16:15:00,设备 PUMP-004 流量读数出现倒退: 200.1 -> 198.7,200.1,198.7,2026-06-08 10:20:02.526778,否,,,,,否,21
16,读数倒退,READING_BACKWARD,medium,PUMP-004,2026-06-01 16:30:00,设备 PUMP-004 流量读数出现倒退: 198.7 -> 195.5,198.7,195.5,2026-06-08 10:20:02.526779,否,,,,,否,22
17,读数倒退,READING_BACKWARD,medium,PUMP-004,2026-06-01 16:45:00,设备 PUMP-004 流量读数出现倒退: 195.5 -> 190.0,195.5,190.0,2026-06-08 10:20:02.526781,否,,,,,否,23
18,读数倒退,READING_BACKWARD,medium,PUMP-004,2026-06-01 17:00:00,设备 PUMP-004 流量读数出现倒退: 190.0 -> 185.0,190.0,185.0,2026-06-08 10:20:02.526782,否,,,,,否,24
19,长时间离线,LONG_TIME_OFFLINE,medium,PUMP-001,2026-06-01 13:00:00,设备 PUMP-001 离线时间长达 4.2 小时,,,2026-06-08 10:20:02.526784,否,,,,,否,8
20,长时间离线,LONG_TIME_OFFLINE,medium,PUMP-003,2026-06-01 21:00:00,设备 PUMP-003 离线时间长达 4.5 小时,,,2026-06-08 10:20:02.526785,否,,,,,否,19
21,水压超限,PRESSURE_OUT_OF_RANGE,high,PUMP-004,2026-06-01 17:00:00,"设备 PUMP-004 水压 0.95 超出范围 [0.2, 0.9]",0.55,0.95,2026-06-08 10:20:02.526787,是,confirmed,经现场核实，该异常属实，已安排维修,李四,2026-06-08 10:20:02.576430,否,24
22,水压超限,PRESSURE_OUT_OF_RANGE,high,PUMP-006,2026-06-02 08:30:00,"设备 PUMP-006 水压 0.05 超出范围 [0.18, 0.85]",0.515,0.05,2026-06-08 10:20:02.526788,否,,,,,否,30
