记录ID,原始行号,设备编号,读数时间,水压(MPa),流量(m³/h),温度(℃),状态,巡检员,时区,原始数据
1,2,PUMP-001,2026-06-01 08:00:00,0.45,120.5,25.2,正常,张三,Asia/Shanghai,"{""device_id"": ""PUMP-001"", ""reading_time"": ""2026-06-01 08:00:00"", ""water_pressure"": 0.45, ""flow_rate"": 120.5, ""temperature"": 25.2, ""status"": ""正常"", ""inspector"": ""张三""}"
2,3,PUMP-001,2026-06-01 08:00:30,0.45,120.5,25.2,正常,张三,Asia/Shanghai,"{""device_id"": ""PUMP-001"", ""reading_time"": ""2026-06-01 08:00:30"", ""water_pressure"": 0.45, ""flow_rate"": 120.5, ""temperature"": 25.2, ""status"": ""正常"", ""inspector"": ""张三""}"
3,4,PUMP-001,2026-06-01 08:15:00,0.46,122.3,25.5,正常,张三,Asia/Shanghai,"{""device_id"": ""PUMP-001"", ""reading_time"": ""2026-06-01 08:15:00"", ""water_pressure"": 0.46, ""flow_rate"": 122.3, ""temperature"": 25.5, ""status"": ""正常"", ""inspector"": ""张三""}"
4,5,PUMP-001,2026-06-01 08:20:00,0.25,122.3,25.5,报警,张三,Asia/Shanghai,"{""device_id"": ""PUMP-001"", ""reading_time"": ""2026-06-01 08:20:00"", ""water_pressure"": 0.25, ""flow_rate"": 122.3, ""temperature"": 25.5, ""status"": ""报警"", ""inspector"": ""张三""}"
5,6,PUMP-001,2026-06-01 08:30:00,0.44,118.7,25.8,正常,张三,Asia/Shanghai,"{""device_id"": ""PUMP-001"", ""reading_time"": ""2026-06-01 08:30:00"", ""water_pressure"": 0.44, ""flow_rate"": 118.7, ""temperature"": 25.8, ""status"": ""正常"", ""inspector"": ""张三""}"
6,7,PUMP-001,2026-06-01 08:45:00,0.43,115.2,26.0,正常,张三,Asia/Shanghai,"{""device_id"": ""PUMP-001"", ""reading_time"": ""2026-06-01 08:45:00"", ""water_pressure"": 0.43, ""flow_rate"": 115.2, ""temperature"": 26.0, ""status"": ""正常"", ""inspector"": ""张三""}"
7,8,PUMP-001,2026-06-01 13:00:00,0.47,130.1,27.0,正常,张三,Asia/Shanghai,"{""device_id"": ""PUMP-001"", ""reading_time"": ""2026-06-01 13:00:00"", ""water_pressure"": 0.47, ""flow_rate"": 130.1, ""temperature"": 27.0, ""status"": ""正常"", ""inspector"": ""张三""}"
8,9,PUMP-002,2026-06-01 08:00:00,0.52,150.2,26.1,正常,张三,Asia/Shanghai,"{""device_id"": ""PUMP-002"", ""reading_time"": ""2026-06-01 08:00:00"", ""water_pressure"": 0.52, ""flow_rate"": 150.2, ""temperature"": 26.1, ""status"": ""正常"", ""inspector"": ""张三""}"
9,10,PUMP-002,2026-06-01 08:15:00,0.51,148.9,26.3,正常,张三,Asia/Shanghai,"{""device_id"": ""PUMP-002"", ""reading_time"": ""2026-06-01 08:15:00"", ""water_pressure"": 0.51, ""flow_rate"": 148.9, ""temperature"": 26.3, ""status"": ""正常"", ""inspector"": ""张三""}"
10,11,PUMP-002,2026-06-01 08:15:00,0.6,148.9,26.3,正常,张三,Asia/Shanghai,"{""device_id"": ""PUMP-002"", ""reading_time"": ""2026-06-01 08:15:00"", ""water_pressure"": 0.6, ""flow_rate"": 148.9, ""temperature"": 26.3, ""status"": ""正常"", ""inspector"": ""张三""}"
11,12,PUMP-002,2026-06-01 08:30:00,0.53,152.1,26.5,正常,张三,Asia/Shanghai,"{""device_id"": ""PUMP-002"", ""reading_time"": ""2026-06-01 08:30:00"", ""water_pressure"": 0.53, ""flow_rate"": 152.1, ""temperature"": 26.5, ""status"": ""正常"", ""inspector"": ""张三""}"
12,13,PUMP-002,2026-06-01 08:45:00,0.54,160.0,26.7,正常,张三,Asia/Shanghai,"{""device_id"": ""PUMP-002"", ""reading_time"": ""2026-06-01 08:45:00"", ""water_pressure"": 0.54, ""flow_rate"": 160.0, ""temperature"": 26.7, ""status"": ""正常"", ""inspector"": ""张三""}"
13,14,PUMP-002,2026-06-01 09:00:00,0.55,155.5,26.8,正常,张三,Asia/Shanghai,"{""device_id"": ""PUMP-002"", ""reading_time"": ""2026-06-01 09:00:00"", ""water_pressure"": 0.55, ""flow_rate"": 155.5, ""temperature"": 26.8, ""status"": ""正常"", ""inspector"": ""张三""}"
14,15,PUMP-002,2026-06-01 09:15:00,0.56,145.0,27.0,正常,张三,Asia/Shanghai,"{""device_id"": ""PUMP-002"", ""reading_time"": ""2026-06-01 09:15:00"", ""water_pressure"": 0.56, ""flow_rate"": 145.0, ""temperature"": 27.0, ""status"": ""正常"", ""inspector"": ""张三""}"
15,16,PUMP-003,2026-06-01 16:00:00,0.55,180.3,27.0,正常,李四,Asia/Shanghai,"{""device_id"": ""PUMP-003"", ""reading_time"": ""2026-06-01 16:00:00"", ""water_pressure"": 0.55, ""flow_rate"": 180.3, ""temperature"": 27.0, ""status"": ""正常"", ""inspector"": ""李四""}"
16,17,PUMP-003,2026-06-01 16:15:00,0.56,182.5,27.2,正常,李四,Asia/Shanghai,"{""device_id"": ""PUMP-003"", ""reading_time"": ""2026-06-01 16:15:00"", ""water_pressure"": 0.56, ""flow_rate"": 182.5, ""temperature"": 27.2, ""status"": ""正常"", ""inspector"": ""李四""}"
17,18,PUMP-003,2026-06-01 16:30:00,0.58,175.0,27.5,正常,李四,Asia/Shanghai,"{""device_id"": ""PUMP-003"", ""reading_time"": ""2026-06-01 16:30:00"", ""water_pressure"": 0.58, ""flow_rate"": 175.0, ""temperature"": 27.5, ""status"": ""正常"", ""inspector"": ""李四""}"
18,19,PUMP-003,2026-06-01 21:00:00,0.6,190.0,28.0,正常,李四,Asia/Shanghai,"{""device_id"": ""PUMP-003"", ""reading_time"": ""2026-06-01 21:00:00"", ""water_pressure"": 0.6, ""flow_rate"": 190.0, ""temperature"": 28.0, ""status"": ""正常"", ""inspector"": ""李四""}"
19,20,PUMP-004,2026-06-01 16:00:00,0.6,200.1,28.0,正常,李四,Asia/Shanghai,"{""device_id"": ""PUMP-004"", ""reading_time"": ""2026-06-01 16:00:00"", ""water_pressure"": 0.6, ""flow_rate"": 200.1, ""temperature"": 28.0, ""status"": ""正常"", ""inspector"": ""李四""}"
20,21,PUMP-004,2026-06-01 16:15:00,0.59,198.7,28.2,正常,李四,Asia/Shanghai,"{""device_id"": ""PUMP-004"", ""reading_time"": ""2026-06-01 16:15:00"", ""water_pressure"": 0.59, ""flow_rate"": 198.7, ""temperature"": 28.2, ""status"": ""正常"", ""inspector"": ""李四""}"
21,22,PUMP-004,2026-06-01 16:30:00,0.57,195.5,28.5,正常,李四,Asia/Shanghai,"{""device_id"": ""PUMP-004"", ""reading_time"": ""2026-06-01 16:30:00"", ""water_pressure"": 0.57, ""flow_rate"": 195.5, ""temperature"": 28.5, ""status"": ""正常"", ""inspector"": ""李四""}"
22,23,PUMP-004,2026-06-01 16:45:00,0.55,190.0,28.8,正常,李四,Asia/Shanghai,"{""device_id"": ""PUMP-004"", ""reading_time"": ""2026-06-01 16:45:00"", ""water_pressure"": 0.55, ""flow_rate"": 190.0, ""temperature"": 28.8, ""status"": ""正常"", ""inspector"": ""李四""}"
23,24,PUMP-004,2026-06-01 17:00:00,0.95,185.0,29.0,报警,李四,Asia/Shanghai,"{""device_id"": ""PUMP-004"", ""reading_time"": ""2026-06-01 17:00:00"", ""water_pressure"": 0.95, ""flow_rate"": 185.0, ""temperature"": 29.0, ""status"": ""报警"", ""inspector"": ""李四""}"
24,25,PUMP-005,2026-06-02 08:00:00,0.5,160.5,25.0,正常,王五,Asia/Shanghai,"{""device_id"": ""PUMP-005"", ""reading_time"": ""2026-06-02 08:00:00"", ""water_pressure"": 0.5, ""flow_rate"": 160.5, ""temperature"": 25.0, ""status"": ""正常"", ""inspector"": ""王五""}"
25,26,PUMP-005,2026-06-02 08:15:00,0.52,165.2,25.3,正常,王五,Asia/Shanghai,"{""device_id"": ""PUMP-005"", ""reading_time"": ""2026-06-02 08:15:00"", ""water_pressure"": 0.52, ""flow_rate"": 165.2, ""temperature"": 25.3, ""status"": ""正常"", ""inspector"": ""王五""}"
26,27,PUMP-005,2026-06-02 08:30:00,0.54,170.0,25.5,正常,王五,Asia/Shanghai,"{""device_id"": ""PUMP-005"", ""reading_time"": ""2026-06-02 08:30:00"", ""water_pressure"": 0.54, ""flow_rate"": 170.0, ""temperature"": 25.5, ""status"": ""正常"", ""inspector"": ""王五""}"
27,28,PUMP-006,2026-06-02 08:00:00,0.45,130.2,24.8,正常,王五,Asia/Shanghai,"{""device_id"": ""PUMP-006"", ""reading_time"": ""2026-06-02 08:00:00"", ""water_pressure"": 0.45, ""flow_rate"": 130.2, ""temperature"": 24.8, ""status"": ""正常"", ""inspector"": ""王五""}"
28,29,PUMP-006,2026-06-02 08:15:00,0.47,135.5,25.0,正常,王五,Asia/Shanghai,"{""device_id"": ""PUMP-006"", ""reading_time"": ""2026-06-02 08:15:00"", ""water_pressure"": 0.47, ""flow_rate"": 135.5, ""temperature"": 25.0, ""status"": ""正常"", ""inspector"": ""王五""}"
29,30,PUMP-006,2026-06-02 08:30:00,0.05,140.0,25.2,报警,王五,Asia/Shanghai,"{""device_id"": ""PUMP-006"", ""reading_time"": ""2026-06-02 08:30:00"", ""water_pressure"": 0.05, ""flow_rate"": 140.0, ""temperature"": 25.2, ""status"": ""报警"", ""inspector"": ""王五""}"
30,31,PUMP-999,2026-06-02 09:00:00,0.5,100.0,25.0,正常,王五,Asia/Shanghai,"{""device_id"": ""PUMP-999"", ""reading_time"": ""2026-06-02 09:00:00"", ""water_pressure"": 0.5, ""flow_rate"": 100.0, ""temperature"": 25.0, ""status"": ""正常"", ""inspector"": ""王五""}"
31,32,PUMP-999,2026-06-02 09:15:00,0.51,105.0,25.1,正常,王五,Asia/Shanghai,"{""device_id"": ""PUMP-999"", ""reading_time"": ""2026-06-02 09:15:00"", ""water_pressure"": 0.51, ""flow_rate"": 105.0, ""temperature"": 25.1, ""status"": ""正常"", ""inspector"": ""王五""}"
