异常ID,异常类型,异常代码,严重程度,设备编号,读数时间,描述,预期值,实际值,检测时间,是否复核,复核结果,复核备注,复核人,复核时间,是否回滚,原始行号
14,未登记设备,UNREGISTERED_DEVICE,critical,PUMP-999,2026-06-02 09:00:00,设备 PUMP-999 未在设备台账中登记,,,2026-06-08 13:14:22.464159,否,,,,,否,31
15,未登记设备,UNREGISTERED_DEVICE,critical,PUMP-999,2026-06-02 09:15:00,设备 PUMP-999 未在设备台账中登记,,,2026-06-08 13:14:22.464164,否,,,,,否,32
16,同时刻不同读数,SAME_TIME_DIFFERENT_READING,high,PUMP-002,2026-06-01 08:15:00,设备 PUMP-002 在 2026-06-01 08:15:00 时间点出现不同读数: [0.51 0.6 ],0.51,0.6,2026-06-08 13:14:22.464166,否,,,,,否,10
17,同时刻不同读数,SAME_TIME_DIFFERENT_READING,high,PUMP-002,2026-06-01 08:15:00,设备 PUMP-002 在 2026-06-01 08:15:00 时间点出现不同读数: [0.51 0.6 ],0.51,0.6,2026-06-08 13:14:22.464167,否,,,,,否,11
18,重复上报,DUPLICATE_REPORT,low,PUMP-001,2026-06-01 08:00:30,设备 PUMP-001 在 120 秒内重复上报,,,2026-06-08 13:14:22.464168,否,,,,,否,3
19,重复上报,DUPLICATE_REPORT,low,PUMP-002,2026-06-01 08:15:00,设备 PUMP-002 在 120 秒内重复上报,,,2026-06-08 13:14:22.464169,否,,,,,否,11
20,水压突降,PRESSURE_SUDDEN_DROP,high,PUMP-001,2026-06-01 08:20:00,设备 PUMP-001 在 5 分钟内水压下降 0.21MPa,0.46,0.25,2026-06-08 13:14:22.464170,否,,,,,否,5
21,水压突降,PRESSURE_SUDDEN_DROP,high,PUMP-006,2026-06-02 08:30:00,设备 PUMP-006 在 15 分钟内水压下降 0.42MPa,0.47,0.05,2026-06-08 13:14:22.464171,否,,,,,否,30
22,读数倒退,READING_BACKWARD,medium,PUMP-002,2026-06-01 09:15:00,设备 PUMP-002 流量读数出现倒退: 155.5 -> 130.0 (下降 25.5m³/h),155.5,130.0,2026-06-08 13:14:22.464172,否,,,,,否,15
23,长时间离线,LONG_TIME_OFFLINE,medium,PUMP-001,2026-06-01 13:00:00,设备 PUMP-001 离线时间长达 4.2 小时,,,2026-06-08 13:14:22.464173,否,,,,,否,8
24,长时间离线,LONG_TIME_OFFLINE,medium,PUMP-003,2026-06-01 21:00:00,设备 PUMP-003 离线时间长达 4.5 小时,,,2026-06-08 13:14:22.464174,否,,,,,否,19
25,水压超限,PRESSURE_OUT_OF_RANGE,high,PUMP-004,2026-06-01 17:00:00,"设备 PUMP-004 水压 0.95 超出范围 [0.2, 0.9]",0.55,0.95,2026-06-08 13:14:22.464175,否,,,,,否,24
26,水压超限,PRESSURE_OUT_OF_RANGE,high,PUMP-006,2026-06-02 08:30:00,"设备 PUMP-006 水压 0.05 超出范围 [0.18, 0.85]",0.515,0.05,2026-06-08 13:14:22.464175,否,,,,,否,30
