设备编号,读数时间,水压(MPa),流量(m³/h),温度(℃),状态,巡检员
PUMP-001,2026-06-01 08:00:00,0.45,120.5,25.2,正常,张三
PUMP-001,2026-06-01 08:15:00,0.46,122.3,25.5,正常,张三
PUMP-001,2026-06-01 08:30:00,0.44,118.7,25.8,正常,张三
PUMP-002,2026-06-01 08:00:00,0.52,150.2,26.1,正常,张三
PUMP-002,2026-06-01 08:15:00,0.51,148.9,26.3,正常,张三
PUMP-002,2026-06-01 08:30:00,0.53,152.1,26.5,正常,张三
PUMP-003,2026-06-01 16:00:00,0.55,180.3,27.0,正常,李四
PUMP-003,2026-06-01 16:15:00,0.56,182.5,27.2,正常,李四
PUMP-004,2026-06-01 16:00:00,0.60,200.1,28.0,正常,李四
PUMP-004,2026-06-01 16:15:00,0.59,198.7,28.2,正常,李四
