设备编号,读数时间,水压(MPa),流量(m³/h),温度(℃),状态,巡检员
PUMP-001,2026-06-01 08:00:00,0.45,120.5,25.2,正常,张三
PUMP-001,2026-06-01 08:00:30,0.45,120.5,25.2,正常,张三
PUMP-001,2026-06-01 08:15:00,0.46,122.3,25.5,正常,张三
PUMP-001,2026-06-01 08:20:00,0.25,122.3,25.5,报警,张三
PUMP-001,2026-06-01 08:30:00,0.44,118.7,25.8,正常,张三
PUMP-001,2026-06-01 08:45:00,0.43,115.2,26.0,正常,张三
PUMP-001,2026-06-01 13:00:00,0.47,130.1,27.0,正常,张三
PUMP-002,2026-06-01 08:00:00,0.52,150.2,26.1,正常,张三
PUMP-002,2026-06-01 08:15:00,0.51,148.9,26.3,正常,张三
PUMP-002,2026-06-01 08:15:00,0.60,148.9,26.3,正常,张三
PUMP-002,2026-06-01 08:30:00,0.53,152.1,26.5,正常,张三
PUMP-002,2026-06-01 08:45:00,0.54,160.0,26.7,正常,张三
PUMP-002,2026-06-01 09:00:00,0.55,155.5,26.8,正常,张三
PUMP-002,2026-06-01 09:15:00,0.56,130.0,27.0,正常,张三
PUMP-003,2026-06-01 16:00:00,0.55,180.3,27.0,正常,李四
PUMP-003,2026-06-01 16:15:00,0.56,182.5,27.2,正常,李四
PUMP-003,2026-06-01 16:30:00,0.58,175.0,27.5,正常,李四
PUMP-003,2026-06-01 21:00:00,0.60,190.0,28.0,正常,李四
PUMP-004,2026-06-01 16:00:00,0.60,200.1,28.0,正常,李四
PUMP-004,2026-06-01 16:15:00,0.59,198.7,28.2,正常,李四
PUMP-004,2026-06-01 16:30:00,0.57,195.5,28.5,正常,李四
PUMP-004,2026-06-01 16:45:00,0.55,190.0,28.8,正常,李四
PUMP-004,2026-06-01 17:00:00,0.95,185.0,29.0,报警,李四
PUMP-005,2026-06-02 08:00:00,0.50,160.5,25.0,正常,王五
PUMP-005,2026-06-02 08:15:00,0.52,165.2,25.3,正常,王五
PUMP-005,2026-06-02 08:30:00,0.54,170.0,25.5,正常,王五
PUMP-006,2026-06-02 08:00:00,0.45,130.2,24.8,正常,王五
PUMP-006,2026-06-02 08:15:00,0.47,135.5,25.0,正常,王五
PUMP-006,2026-06-02 08:30:00,0.05,140.0,25.2,报警,王五
PUMP-999,2026-06-02 09:00:00,0.50,100.0,25.0,正常,王五
PUMP-999,2026-06-02 09:15:00,0.51,105.0,25.1,正常,王五
